Company,TypeName,Inches,Gpu,OpSys,Price_euros,Ram_GB,Weight_kg,SSD_GB,HDD_GB,Total_Storage_GB,Is_IPS,Is_Touchscreen,Screen_Width,Screen_Height,Res_Class,PPI,CPU_Brand,CPU_GHz,GPU_Brand
Apple,Ultrabook,13.3,Intel Iris Plus Graphics 640,macOS,1339.69,8,1.37,128,0,128,True,False,2560,1600,QHD,226.98300468106115,Intel,2.3,Intel
Apple,Ultrabook,13.3,Intel HD Graphics 6000,macOS,898.94,8,1.34,128,0,128,False,False,1440,900,HD,127.67794013309688,Intel,1.8,Intel
HP,Notebook,15.6,Intel HD Graphics 620,No OS,575.0,8,1.86,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Intel
Apple,Ultrabook,15.4,AMD Radeon Pro 455,macOS,2537.45,16,1.83,512,0,512,True,False,2880,1800,QHD,220.53462386625827,Intel,2.7,AMD
Apple,Ultrabook,13.3,Intel Iris Plus Graphics 650,macOS,1803.6,8,1.37,256,0,256,True,False,2560,1600,QHD,226.98300468106115,Intel,3.1,Intel
Acer,Notebook,15.6,AMD Radeon R5,Windows 10,400.0,4,2.1,0,500,500,False,False,1366,768,HD,100.45466986113651,AMD,3.0,AMD
Apple,Ultrabook,15.4,Intel Iris Pro Graphics,Mac OS X,2139.97,16,2.04,256,0,256,True,False,2880,1800,QHD,220.53462386625827,Intel,2.2,Intel
Apple,Ultrabook,13.3,Intel HD Graphics 6000,macOS,1158.7,8,1.34,256,0,256,False,False,1440,900,HD,127.67794013309688,Intel,1.8,Intel
Asus,Ultrabook,14.0,Nvidia GeForce MX150,Windows 10,1495.0,16,1.3,512,0,512,False,False,1920,1080,FHD,157.3505121487356,Intel,1.8,Nvidia
Acer,Ultrabook,14.0,Intel UHD Graphics 620,Windows 10,770.0,8,1.6,256,0,256,True,False,1920,1080,FHD,157.3505121487356,Intel,1.6,Intel
HP,Notebook,15.6,Intel HD Graphics 620,No OS,393.9,4,1.86,0,500,500,False,False,1366,768,HD,100.45466986113651,Intel,2.5,Intel
HP,Notebook,15.6,Intel HD Graphics 520,No OS,344.99,4,1.86,0,500,500,False,False,1920,1080,FHD,141.21199808219862,Intel,2.0,Intel
Apple,Ultrabook,15.4,AMD Radeon Pro 555,macOS,2439.97,16,1.83,256,0,256,True,False,2880,1800,QHD,220.53462386625827,Intel,2.8,AMD
Dell,Notebook,15.6,AMD Radeon R5 M430,Windows 10,498.9,4,2.2,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.0,AMD
Apple,Ultrabook,12.0,Intel HD Graphics 615,macOS,1262.4,8,0.92,256,0,256,True,False,2304,1440,FHD,226.41554716935852,Intel,1.2,Intel
Apple,Ultrabook,13.3,Intel Iris Plus Graphics 640,macOS,1518.55,8,1.37,256,0,256,True,False,2560,1600,QHD,226.98300468106115,Intel,2.3,Intel
Dell,Notebook,15.6,AMD Radeon R5 M430,Windows 10,745.0,8,2.2,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.7,AMD
Apple,Ultrabook,15.4,AMD Radeon Pro 560,macOS,2858.0,16,1.83,512,0,512,True,False,2880,1800,QHD,220.53462386625827,Intel,2.9,AMD
Lenovo,Notebook,15.6,Nvidia GeForce 940MX,No OS,499.0,8,2.2,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.4,Nvidia
Dell,Ultrabook,13.3,Intel UHD Graphics 620,Windows 10,979.0,8,1.22,128,0,128,True,True,1920,1080,FHD,165.6321180513006,Intel,1.6,Intel
Asus,Netbook,11.6,Intel HD Graphics 400,Windows 10,191.9,2,0.98,32,0,32,False,False,1366,768,HD,135.0942111925629,Intel,1.44,Intel
Lenovo,Gaming,15.6,Nvidia GeForce GTX 1050,Windows 10,999.0,8,2.5,128,1024,1152,True,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Nvidia
HP,Notebook,15.6,AMD Radeon R2,No OS,258.0,4,1.86,0,500,500,False,False,1366,768,HD,100.45466986113651,AMD,1.5,AMD
Dell,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows 10,819.0,8,1.62,256,0,256,False,True,1920,1080,FHD,165.6321180513006,Intel,1.6,Intel
HP,Ultrabook,15.6,Intel HD Graphics 620,Windows 10,659.0,8,1.91,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,1.8,Intel
Dell,Notebook,15.6,Intel HD Graphics 520,Windows 10,418.64,4,2.3,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,2.0,Intel
Apple,Ultrabook,13.3,Intel HD Graphics 6000,Mac OS X,1099.0,8,1.35,128,0,128,False,False,1440,900,HD,127.67794013309688,Intel,1.6,Intel
