Brand,Price_BDT,Availability,RAM_GB,SSD_GB,HDD_GB,Total_Storage_GB,CPU_Brand,CPU_GHz,Screen_Size,Screen_Width,Screen_Height,Is_Touchscreen,PPI,GPU_Brand
Smart,64500.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
Smart,68500.0,In Stock,8.0,512,0,512,Intel,0.0,16.0,0,0,False,0.0,Intel
Tecno,71900.0,In Stock,16.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Acer,73900.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
ASUS,61500.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
ASUS,61500.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
Acer,63000.0,In Stock,8.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,AMD
Acer,63500.0,In Stock,8.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,AMD
Acer,63500.0,In Stock,8.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,AMD
HP,64500.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
HP,65990.0,In Stock,8.0,512,0,512,Other,0.0,15.6,0,0,False,0.0,Intel
Smart,67500.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
HP,71000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
HP,71000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
Dell,73500.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
Lenovo,74000.0,In Stock,16.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,AMD
Acer,74500.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
Acer,74900.0,In Stock,16.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,AMD
Dell,75500.0,In Stock,8.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
Acer,76500.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
Lenovo,76900.0,In Stock,8.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,AMD
Lenovo,76900.0,In Stock,8.0,512,0,512,AMD,0.0,14.0,0,0,False,0.0,AMD
Acer,76900.0,In Stock,16.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,AMD
Acer,77500.0,In Stock,16.0,512,0,512,AMD,0.0,15.6,0,0,False,0.0,AMD
Lenovo,77500.0,In Stock,8.0,512,0,512,AMD,0.0,15.3,0,0,False,0.0,AMD
Lenovo,77500.0,In Stock,8.0,512,0,512,AMD,0.0,15.3,0,0,False,0.0,AMD
Acer,79900.0,In Stock,8.0,512,0,512,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,80000.0,In Stock,8.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Intel
