Brand,Model,Processor,RAM,Storage,Display,GPU,Price_BDT,Availability,Source,Product_URL
Smart,"Smart Flairedge 13th Gen Intel Core i5 1335U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Grey Laptop",Intel Core i5,8GB,512GB SSD,"15.6""",Intel Iris Xe Graphics,64500,In Stock,ryans.com,https://www.ryans.com/smart-flairedge-13th-gen-intel-core-i5-1335u-laptop
Smart,Smart Flairedge Intel Core i7 1255U 8GB RAM 512GB SSD FHD+ WUXGA Display Silver Laptop,Intel Core i7,8GB,512GB SSD,"16""",Intel Iris Xe Graphics,68500,In Stock,ryans.com,https://www.ryans.com/smart-flairedge-intel-core-i7-1255u-laptop
Tecno,TECNO Megabook T14 Air Intel Core i5 1334U 16GB RAM 512GB SSD 14 Inch FHD+ WUXGA Display Moonshine Silver Laptop,Intel Core i5,16GB,512GB SSD,"14""",Intel Iris Xe Graphics,71900,In Stock,ryans.com,https://www.ryans.com/tecno-megabook-t14-air-intel-core-i5-1334u-16gb-ram-laptop
Acer,Acer Aspire 3 A325-53 Intel Core i5 1334U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,Intel Core i5,8GB,512GB SSD,"15.6""",Intel Iris Xe Graphics,73900,In Stock,ryans.com,https://www.ryans.com/acer-aspire-3-a325-53-intel-core-i5-1334u-laptop
ASUS,Asus Vivobook Go 15 E1504TA (12th Gen Standard) Intel Core N150 8GB RAM 512GB SSD 15.6 Inch FHD Display Mixed Black Laptop,Intel Core N150,8GB,512GB SSD,"15.6""",Intel Graphics,61500,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-15-e1504ta-12th-gen-standard-intel-core-n150-mixed-black-laptop
ASUS,"Asus Vivobook Go 15 E1504TA (12th Gen Standard) Intel Core N150 8GB RAM, 512GB SSD 15.6 Inch FHD Display Cool Silver Laptop",Intel Core N150,8GB,512GB SSD,"15.6""",Intel Graphics,61500,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-15-e1504ta-12th-gen-standard-intel-core-n150-cool-silver-laptop
Acer,Acer Aspire 15 AS15-42 AMD Ryzen 3 7330U 8GB RAM 512GB SSD 15.6 Inch FHD IPS Display Pure Silver Laptop,AMD Ryzen 3,8GB,512GB SSD,"15.6""",AMD Radeon Graphics,63000,In Stock,ryans.com,https://www.ryans.com/acer-aspire-15-as15-42-amd-ryzen-3-7330u-ips-display-laptop
Acer,Acer Aspire 15 AS15-42 AMD Ryzen 3 7330U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Free Dos Laptop,AMD Ryzen 3,8GB,512GB SSD,"15.6""",AMD Radeon Graphics,63500,In Stock,ryans.com,https://www.ryans.com/acer-aspire-15-as15-42-8gb-pure-silver-laptop
Acer,Acer Aspire Lite AL15-41 AMD Ryzen 3 7330U 8GB RAM DDR4 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop,AMD Ryzen 3,8GB,512GB SSD,"15.6""",AMD Radeon Graphics,63500,In Stock,ryans.com,https://www.ryans.com/acer-aspire-lite-al15-41-amd-ryzen-3-7330u-laptop
HP,"HP 15-fd0841TU 13th Gen Intel Core i3 1315U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Silver Laptop",Intel Core i3,8GB,512GB SSD,"15.6""",Intel UHD Graphics,64500,In Stock,ryans.com,https://www.ryans.com/hp-15-fd0841tu-13th-gen-intel-core-i3-1315u-silver-laptop
